ID	SizeFraction	Kingdom	Superphylum	Phylum	Class	Order	Family	Genus	Species	Phylum_Cyano	nodesize
bn_ASV_000226	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_HOC36	Gammaproteobacteria_HOC36	Gammaproteobacteria_HOC36	uncultured_bacterium	Gammaproteobacteria	1
bn_ASV_000232	nano	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	uncultured_bacterium	Actinobacteria	1
bn_ASV_000245	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae_X	uncultured_bacterium	Bacteroidetes	1
bn_ASV_000248	nano	Bacteria	Planctomycetes	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rhodopirellula	marine_metagenome	Planctomycetes	1
bn_ASV_000256	nano	Bacteria	Proteobacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_SAR324	Deltaproteobacteria_SAR324	Deltaproteobacteria_SAR324	uncultured_bacterium	Deltaproteobacteria	1
bn_ASV_000257	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriales_NS9	Flavobacteriales_NS9	uncultured_bacterium	Bacteroidetes	1
bn_ASV_000265	nano	Bacteria	Planctomycetes	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Rubripirellula	uncultured_planctomycete_6N14	Planctomycetes	1
bn_ASV_000267	nano	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313	uncultured_marine_cyanobacterium	Prochlorococcus_MIT9313	1
bn_ASV_000269	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodovibrionales	Kiloniellaceae	Kiloniella	Kiloniella_laminariae	Alphaproteobacteria	1
bn_ASV_000271	nano	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	marine_metagenome	Actinobacteria	1
bn_ASV_000279	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	uncultured_bacterium	Alphaproteobacteria	1
bn_ASV_000281	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriales_NS11-12	Sphingobacteriales_NS11-12	marine_metagenome	Bacteroidetes	1
bn_ASV_000294	nano	Bacteria	Chloroflexi	Chloroflexi	Dehalococcoidia	Dehalococcoidia_SAR202	Dehalococcoidia_SAR202	Dehalococcoidia_SAR202	marine_metagenome	Chloroflexi	1
bn_ASV_000298	nano	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Pelagicoccus	uncultured_bacterium	Verrucomicrobia	1
bn_ASV_000306	nano	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	uncultured_marine_bacterium	Actinobacteria	1
bn_ASV_000311	nano	Bacteria	Dadabacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	Dadabacteriales_X	Dadabacteriales_X	metagenome	Dadabacteria	1
bn_ASV_000314	nano	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiae_Arctic97B-4	Verrucomicrobiae_Arctic97B-4	Verrucomicrobiae_Arctic97B-4	marine_metagenome	Verrucomicrobia	1
bn_ASV_000320	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	Nisaeaceae_OM75	marine_metagenome	Alphaproteobacteria	1
bn_ASV_000329	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS5	uncultured_marine_bacterium	Bacteroidetes	1
bn_ASV_000341	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS5	uncultured_marine_bacterium	Bacteroidetes	1
