Sample	num_nodes	num_edges	edge_density	num_pos_edges	portion_pos_edges	num_neg_edges	portion_neg_edges	average_pos_association_strength	average_neg_association_strength	transitivity_global_clusering_coef	transitivity_ave_clustering_coef_mean_local	ave_path_length	diameter	mean_degree	degreecentralization	assortativity_nominal_EukProk	assortativity_nominal_Sizefraction	assortativity_degree	ave_node_betweenness	ave_edge_betweenness	betweennesscentralization	ave_closeness	closenesscentralization	closenesscentralization_disconnected_graphs	closenesscentralization_disconnected_graphs_normalized	count_nano	count_pico	count_euk	count_bac	count_en	count_ep	count_bn	count_bp	fraction_nano	fraction_pico	fraction_euk	fraction_bac	fraction_en	fraction_ep	fraction_bn	fraction_bp
BL0610	397	3242	0.0412436709665929	3136	0.96730413325108	106	0.0326958667489204	0.577186849170918	-0.5487025	0.450089532307506	0.507560631366368	3.2590403049808	8	16.3324937027708	0.130473500750579	0.248496170339796	0.486541360147754	0.189908340074547	411.964735516373	72.778531770512	0.077414959033494	0.000126790799492414	0.00896252018003031	130.325350845628	0.329104421327343	192	205	184	213	90	94	102	111	48.3627204030227	51.6372795969773	46.3476070528967	53.6523929471033	22.6700251889169	23.6775818639798	25.6926952141058	27.9596977329975
BL0611	278	4070	0.105706048879308	4012	0.985749385749386	58	0.0142506142506142	0.617701408773679	-0.564198034482759	0.633037481071858	0.574897968242694	2.90092487681484	7	29.2805755395683	0.240864348232605	0.125792446403425	0.108117440186302	0.443370529728563	259.503597122302	27.0498771498772	0.0828065940090329	0.00074281347184832	0.0898707018799649	115.141675231244	0.415673917802323	258	20	93	185	86	7	172	13	92.8057553956834	7.19424460431655	33.4532374100719	66.5467625899281	30.9352517985612	2.51798561151079	61.8705035971223	4.67625899280576
BL0612	413	9446	0.111027527680481	9327	0.987402074952361	119	0.0125979250476392	0.611070693256138	-0.560121882352941	0.628233343297556	0.591142261990135	2.7850499772286	7	45.7433414043584	0.282176355814664	0.113156794076151	0.267567415053759	0.276250603788448	360.63196125908	24.6007834003811	0.0528159073687747	0.000357854384537134	0.0443839032541493	176.604462123833	0.428651607096681	252	161	167	246	76	91	176	70	61.0169491525424	38.9830508474576	40.4358353510896	59.5641646489104	18.4019370460048	22.0338983050847	42.6150121065375	16.9491525423729
BL0701	448	13104	0.130872483221477	12975	0.990155677655678	129	0.00984432234432234	0.609681258805395	-0.559236674418605	0.631993193214844	0.616591760721459	2.69756077359506	8	58.5	0.323266219239374	0.0883890344186135	0.252118200804058	0.171646777058274	365.991071428571	19.8833943833944	0.0401848646816938	0.000206916026232093	0.0180286506939919	198.989987244898	0.445167756699995	252	196	196	252	107	89	145	107	56.25	43.75	43.75	56.25	23.8839285714286	19.8660714285714	32.3660714285714	23.8839285714286
BL0702	411	12277	0.145712420627856	12238	0.996823328174635	39	0.0031766718253645	0.609455628615787	-0.569998256410256	0.634402560229829	0.61287322817209	2.69983591335207	13	59.7420924574209	0.334775384250193	0.0982446050084842	0.258418504003689	0.122831432170129	325.148418491484	17.2886698704895	0.0386057516326631	0.000142142322729653	0.00988604999367386	183.425691731896	0.447379735931454	238	173	189	222	98	91	140	82	57.9075425790754	42.0924574209246	45.985401459854	54.014598540146	23.8442822384428	22.1411192214112	34.0632603406326	19.9513381995134
BL0703	311	4999	0.103702935380147	4930	0.98619723944789	69	0.0138027605521104	0.601807636713996	-0.56965	0.616590179971515	0.566421329708242	2.98100977939504	10	32.1479099678457	0.286619645265014	0.128325789211655	0.281920825098242	0.218995669255281	280.08038585209	26.2202440488098	0.0728195662107334	0.000183252048530004	0.0119729926677805	120.64317103047	0.389171519453129	163	148	163	148	80	83	83	65	52.411575562701	47.588424437299	52.411575562701	47.588424437299	25.7234726688103	26.6881028938907	26.6881028938907	20.9003215434084
BL0704	275	2152	0.0571201061712011	2073	0.963289962825279	79	0.0367100371747212	0.589244601061264	-0.562900962025316	0.497366536046855	0.480118817198724	3.27870735874624	10	15.6509090909091	0.212952886529529	0.199299082554644	0.418547219693827	0.352335766977338	281.283636363636	51.7188661710037	0.108457632589042	0.000202818916330282	0.0130770370595977	91.360202020202	0.333431394234314	137	138	116	159	67	49	70	89	49.8181818181818	50.1818181818182	42.1818181818182	57.8181818181818	24.3636363636364	17.8181818181818	25.4545454545455	32.3636363636364
BL0705	284	1852	0.0460857014880804	1771	0.956263498920086	81	0.0437365010799136	0.580838118577075	-0.561038160493827	0.4515595463138	0.472103832278108	3.29435842197388	9	13.0422535211268	0.141193450455382	0.313833767168439	0.56565227971667	0.263457608961887	300.003521126761	66.0561555075594	0.0733412037488871	0.000239982694137551	0.0149006582590728	93.4323720098368	0.330149724416384	170	114	118	166	56	62	114	52	59.8591549295775	40.1408450704225	41.5492957746479	58.4507042253521	19.7183098591549	21.830985915493	40.1408450704225	18.3098591549296
BL0706	296	1873	0.0428996793403573	1771	0.94554191137213	102	0.0544580886278697	0.581045915866742	-0.548577950980392	0.44329112172168	0.475011130576544	3.35954916401274	10	12.6554054054054	0.150320659642694	0.290684631371491	0.557413709007219	0.248091135416996	320.388513513513	72.0912973838761	0.102124160341114	0.000213944051927717	0.0138861430539249	95.85074002574	0.324917762799119	158	138	140	156	60	80	98	58	53.3783783783784	46.6216216216216	47.2972972972973	52.7027027027027	20.2702702702703	27.027027027027	33.1081081081081	19.5945945945946
BL0707	340	2315	0.0401700503210134	2227	0.961987041036717	88	0.0380129589632829	0.57823624831612	-0.547999295454545	0.431521202105729	0.472566301937527	3.34558892494701	9	13.6176470588235	0.151570362658338	0.331355951032016	0.544680896325571	0.24439185015102	367.767647058824	77.0410367170626	0.0815821236494636	0.000175102562382923	0.0122478275692511	109.838531746032	0.32400746827738	182	158	152	188	78	74	104	84	53.5294117647059	46.4705882352941	44.7058823529412	55.2941176470588	22.9411764705882	21.7647058823529	30.5882352941176	24.7058823529412
