Source	Target	LS	Xs	Len	MutualInformation	percentage_co_occurrence	intersection	union	J
bn_ASV_000039	bn_ASV_000073	0.758927	1	120	0.633751	86.956522	60	69	0.869565217391304
bn_ASV_000039	bn_ASV_000078	0.793858	1	120	0.566906	74.698795	62	83	0.746987951807229
bn_ASV_000039	bn_ASV_000088	0.676394	1	120	0.424428	65.591398	61	93	0.655913978494624
bn_ASV_000039	bn_ASV_000089	0.724047	1	120	0.548103	72.289157	60	83	0.72289156626506
bn_ASV_000039	bn_ASV_000102	0.701055	3	118	0.550997	70.588235	60	85	0.705882352941177
bn_ASV_000039	bn_ASV_000104	0.631498	1	119	0.332827	62.790698	54	86	0.627906976744186
bn_ASV_000039	bn_ASV_000107	0.635295	1	120	0.433716	76.712329	56	73	0.767123287671233
bn_ASV_000039	bn_ASV_000125	0.680016	1	118	0.550096	57.142857	56	98	0.571428571428571
bn_ASV_000039	bn_ASV_000129	0.573578	1	118	0.295611	66.666667	62	93	0.666666666666667
bn_ASV_000039	bn_ASV_000133	0.607067	1	120	0.388089	61.052632	58	95	0.610526315789474
bn_ASV_000039	bn_ASV_000151	0.527982	1	120	0.394135	71.084337	59	83	0.710843373493976
bn_ASV_000039	bn_ASV_000184	0.660313	1	120	0.448621	64.285714	54	84	0.642857142857143
bn_ASV_000039	bn_ASV_000193	0.759125	1	120	0.681927	76.470588	52	68	0.764705882352941
bn_ASV_000039	bn_ASV_000197	0.760093	1	118	0.50024	56.944444	41	72	0.569444444444444
bn_ASV_000039	bn_ASV_000210	0.812538	3	116	0.703844	75.362319	52	69	0.753623188405797
bn_ASV_000039	bn_ASV_000213	0.634489	1	120	0.598367	68.115942	47	69	0.681159420289855
bn_ASV_000039	bn_ASV_000226	0.788455	1	118	0.621432	66.176471	45	68	0.661764705882353
bn_ASV_000039	bn_ASV_000230	0.834931	1	120	0.650163	76.811594	53	69	0.768115942028985
bn_ASV_000039	bn_ASV_000232	0.646374	1	120	0.48246	65.217391	45	69	0.652173913043478
bn_ASV_000039	bn_ASV_000239	0.645235	3	118	0.403275	72.222222	52	72	0.722222222222222
bn_ASV_000039	bn_ASV_000244	0.612924	1	120	0.395458	61.538462	48	78	0.615384615384615
bn_ASV_000039	bn_ASV_000252	0.634308	3	118	0.389785	63.380282	45	71	0.633802816901408
bn_ASV_000039	bn_ASV_000271	0.671553	3	118	0.508497	67.647059	46	68	0.676470588235294
bn_ASV_000039	bn_ASV_000280	0.713147	3	116	0.532841	60.294118	41	68	0.602941176470588
bn_ASV_000039	bn_ASV_000290	0.671924	1	120	0.509484	57.352941	39	68	0.573529411764706
bn_ASV_000039	bn_ASV_000294	0.502303	5	116	0.440229	51.470588	35	68	0.514705882352941
bn_ASV_000039	bn_ASV_000302	0.841746	1	118	0.605246	60.294118	41	68	0.602941176470588
bn_ASV_000039	bn_ASV_000306	0.685448	1	120	0.543587	58.823529	40	68	0.588235294117647
bn_ASV_000039	bn_ASV_000308	0.746694	3	118	0.552882	63.888889	46	72	0.638888888888889
bn_ASV_000039	bn_ASV_000331	0.560466	1	118	0.267434	57.5	46	80	0.575
bn_ASV_000039	bn_ASV_000333	0.781023	2	119	0.496162	59.42029	41	69	0.594202898550725
bn_ASV_000039	bn_ASV_000348	0.591594	1	118	0.43956	57.534247	42	73	0.575342465753425
bn_ASV_000039	bn_ASV_000361	0.673366	1	120	0.437529	61.971831	44	71	0.619718309859155
bn_ASV_000039	bn_ASV_000398	0.785628	3	118	0.639084	64.705882	44	68	0.647058823529412
bn_ASV_000039	bn_ASV_000411	0.676629	1	119	0.390716	51.428571	36	70	0.514285714285714
bn_ASV_000039	bn_ASV_000431	0.610616	5	116	0.414508	55.714286	39	70	0.557142857142857
bn_ASV_000039	bn_ASV_000457	0.722238	1	120	0.561057	54.411765	37	68	0.544117647058823
bn_ASV_000039	bn_ASV_000474	0.526475	1	118	0.365981	56.944444	41	72	0.569444444444444
bn_ASV_000039	bn_ASV_000484	0.589864	2	117	0.338675	52.112676	37	71	0.52112676056338
bn_ASV_000039	bn_ASV_000511	0.561068	5	116	0.347509	58.571429	41	70	0.585714285714286
bn_ASV_000039	bn_ASV_000528	0.587558	1	120	0.375924	51.470588	35	68	0.514705882352941
bn_ASV_000039	bn_ASV_000607	0.567828	1	119	0.35147	54.285714	38	70	0.542857142857143
bn_ASV_000039	bp_ASV_000039	0.820547	1	120	0.650817	74.358974	58	78	0.743589743589744
bn_ASV_000039	bp_ASV_000059	0.782308	1	120	0.585404	72.5	58	80	0.725
bn_ASV_000039	bp_ASV_000078	0.586429	1	119	0.459604	62.637363	57	91	0.626373626373626
bn_ASV_000039	bp_ASV_000088	0.585706	1	120	0.394294	61.797753	55	89	0.617977528089888
bn_ASV_000039	bp_ASV_000089	0.558036	1	120	0.25758	58.333333	49	84	0.583333333333333
bn_ASV_000039	bp_ASV_000102	0.575437	1	120	0.482145	62.962963	51	81	0.62962962962963
bn_ASV_000039	bp_ASV_000170	0.631279	1	120	0.487525	68.115942	47	69	0.681159420289855
bn_ASV_000039	bp_ASV_000197	0.576923	2	119	0.405707	51.351351	38	74	0.513513513513513
bn_ASV_000039	bp_ASV_000213	0.585463	1	120	0.480415	65.277778	47	72	0.652777777777778
bn_ASV_000039	bp_ASV_000222	0.58813	1	118	0.323423	54.929577	39	71	0.549295774647887
bn_ASV_000039	bp_ASV_000230	0.58153	1	118	0.384988	65.789474	50	76	0.657894736842105
bn_ASV_000039	bp_ASV_000244	0.529122	5	113	0.332534	56.578947	43	76	0.565789473684211
bn_ASV_000039	bp_ASV_000271	0.575342	1	120	0.46953	57.971014	40	69	0.579710144927536
bn_ASV_000039	bp_ASV_000279	0.548015	2	119	0.354011	55.072464	38	69	0.550724637681159
bn_ASV_000039	bp_ASV_000302	0.62223	1	120	0.445979	51.428571	36	70	0.514285714285714
bn_ASV_000039	bp_ASV_000304	0.556736	1	120	0.437974	58.666667	44	75	0.586666666666667
bn_ASV_000039	bp_ASV_000306	0.579712	1	120	0.462096	55.072464	38	69	0.550724637681159
bn_ASV_000039	bp_ASV_000308	0.608215	1	120	0.315658	62.5	45	72	0.625
bn_ASV_000039	bp_ASV_000319	0.590005	1	120	0.376321	52.173913	36	69	0.521739130434783
bn_ASV_000039	bp_ASV_000348	0.570995	1	120	0.453932	60.56338	43	71	0.605633802816901
bn_ASV_000039	bp_ASV_000367	0.662166	1	120	0.41422	58.571429	41	70	0.585714285714286
bn_ASV_000039	bp_ASV_000398	0.636908	1	120	0.293298	58.333333	42	72	0.583333333333333
bn_ASV_000039	bp_ASV_000402	0.64294	5	116	0.441276	56.338028	40	71	0.563380281690141
bn_ASV_000039	bp_ASV_000413	0.483593	1	120	0.347038	62.820513	49	78	0.628205128205128
bn_ASV_000039	bp_ASV_000415	0.534148	1	120	0.313778	52.941176	36	68	0.529411764705882
bn_ASV_000039	bp_ASV_000457	0.600154	2	119	0.477136	50.724638	35	69	0.507246376811594
bn_ASV_000039	bp_ASV_000599	0.699386	1	120	0.444224	50.724638	35	69	0.507246376811594
bn_ASV_000039	en_ASV_00016	0.785103	1	118	0.508688	77.027027	57	74	0.77027027027027
bn_ASV_000039	en_ASV_00053	0.61588	1	120	0.439114	67.46988	56	83	0.674698795180723
bn_ASV_000039	en_ASV_00077	0.521919	1	119	0.290577	69.411765	59	85	0.694117647058824
bn_ASV_000039	en_ASV_00092	0.8237	1	118	0.59374	75.641026	59	78	0.756410256410256
bn_ASV_000039	en_ASV_00112	0.63698	1	120	0.307704	68.965517	60	87	0.689655172413793
bn_ASV_000039	en_ASV_00366	0.585316	1	120	0.416623	66.666667	48	72	0.666666666666667
bn_ASV_000039	en_ASV_00406	0.739532	1	118	0.535206	57.352941	39	68	0.573529411764706
bn_ASV_000039	en_ASV_00472	0.522392	5	116	0.334276	66.666667	58	87	0.666666666666667
bn_ASV_000039	en_ASV_00570	0.643517	1	120	0.416406	63.013699	46	73	0.63013698630137
bn_ASV_000039	en_ASV_00583	0.771592	1	118	0.612778	64.788732	46	71	0.647887323943662
bn_ASV_000039	en_ASV_00636	0.617355	1	120	0.412705	63.157895	48	76	0.631578947368421
bn_ASV_000039	en_ASV_00683	0.611346	1	120	0.448186	60.273973	44	73	0.602739726027397
bn_ASV_000039	en_ASV_00715	0.648831	1	118	0.522053	63.380282	45	71	0.633802816901408
bn_ASV_000039	en_ASV_00804	0.692038	1	118	0.440298	54.285714	38	70	0.542857142857143
bn_ASV_000039	en_ASV_00879	0.67386	1	118	0.513932	60.294118	41	68	0.602941176470588
